Режим DEBUG: 2021-06-02 21:52:29,820  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:57:39,952  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:57:39,973  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:57:40,017  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:57:40,085  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:57:40,149  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:57:40,150  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:57:40,153  dev  ERROR: User admin not found
Режим DEBUG: 2021-06-02 21:57:40,154  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:57:40,265  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:57:40,266  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:57:40,270  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:57:40,714  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:57:40,719  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:57:56,099  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:57:57,575  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:57:58,805  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:58:06,355  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:58:06,355  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:58:06,578  dev  INFO: User user can be authenticated
Режим DEBUG: 2021-06-02 21:58:06,792  dev  INFO: Authorised user user
Режим DEBUG: 2021-06-02 21:58:06,812  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:58:42,013  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:58:42,037  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:58:42,077  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:58:42,151  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:58:42,211  dev  INFO: POST data to authorise user
